,State,State_index,Action,Reward,Reward_Terms,Next_State
952,"[2, 0, 0, 0, 1]",129,35,0.8568170877534182,"(758242.7977055736, 30000000.0, -0.0, 0.4356253257226592)","[2, 0, 1, 0, 1]"
953,"[2, 0, 1, 0, 1]",133,35,0.7133246851733113,"(758242.7977055736, 7449244.54, 0.0, 0.4356253257226592)","[2, 1, 2, 1, 0]"
954,"[2, 1, 2, 1, 0]",154,47,0.7254722630567559,"(758242.7977055736, 50000000.0, -0.0, 0.33514176863864914)","[2, 3, 0, 0, 1]"
955,"[2, 3, 0, 0, 1]",177,94,0.7134203191858594,"(758242.7977055736, 300000000.0, 0.0, 0.4348342506745101)","[2, 3, 3, 0, 1]"
956,"[2, 3, 3, 0, 1]",189,15,0.7134203191858594,"(758242.7977055736, 12684911.51, 0.0, 0.4348342506745101)","[2, 3, 1, 0, 1]"
957,"[2, 3, 1, 0, 1]",181,42,0.7134204771114264,"(758242.7977055736, 47882909.63, 0.0, 0.43483294432991315)","[2, 1, 3, 0, 0]"
958,"[2, 1, 3, 0, 0]",156,125,0.7254920559942569,"(758242.7977055736, 174000.0, -0.0, 0.33497804342656773)","[2, 1, 0, 1, 1]"
959,"[2, 1, 0, 1, 1]",147,44,0.7300354174832936,"(758242.7977055736, 2000000.0, 0.0, 0.4002652328816938)","[2, 1, 3, 1, 0]"
960,"[2, 1, 3, 1, 0]",158,136,0.7189155647619968,"(758242.7977055736, 2000000.0, 0.0, 0.38937812535976707)","[2, 0, 1, 1, 1]"
961,"[2, 0, 1, 1, 1]",135,5,0.7196581563228196,"(758242.7977055736, 3200000.0, 0.0, 0.383235481763817)","[2, 0, 0, 0, 0]"
962,"[2, 0, 0, 0, 0]",128,122,0.71934227656309,"(758242.7977055736, 55000000.0, -0.0, 0.3858484077456888)","[1, 0, 3, 0, 0]"
963,"[1, 0, 3, 0, 0]",76,22,0.7326465328399484,"(758242.7977055736, 1000000.0, 0.0, 0.27579692193649386)","[1, 1, 3, 1, 0]"
964,"[1, 1, 3, 1, 0]",94,57,0.7359477590792635,"(758242.7977055736, 8000000.0, -0.0, 0.24848950654486013)","[1, 0, 1, 0, 0]"
965,"[1, 0, 1, 0, 0]",68,23,0.74574629975806,"(758242.7977055736, 5000000.0, 0.0, 0.1674369517816841)","[2, 1, 0, 1, 1]"
966,"[2, 1, 0, 1, 1]",147,20,0.7229230876293826,"(758242.7977055736, 12620000.0, 0.0, 0.3562282944490923)","[1, 2, 1, 1, 0]"
967,"[1, 2, 1, 1, 0]",102,105,0.74574629975806,"(758242.7977055736, 30730000.0, 0.0, 0.1674369517816841)","[1, 0, 3, 1, 0]"
968,"[1, 0, 3, 1, 0]",78,50,0.7613564652724474,"(758242.7977055736, 2110000.0, 0.0, 0.16631770509401714)","[2, 0, 0, 0, 1]"
969,"[2, 0, 0, 0, 1]",129,36,0.7233284534389539,"(758242.7977055736, 74818607.26, -0.0, 0.35287514875562176)","[2, 0, 3, 0, 1]"
970,"[2, 0, 3, 0, 1]",141,20,0.7233284534389539,"(758242.7977055736, 38283317.52, 0.0, 0.35287514875562176)","[2, 0, 0, 0, 1]"
971,"[2, 0, 0, 0, 1]",129,39,1.0,"(758242.7977055736, 50516110.52, 0.0, 0.3566129574266484)","[1, 2, 1, 1, 0]"
972,"[1, 2, 1, 1, 0]",102,42,0.7458815873162263,"(758242.7977055736, 650000.0, -0.0, 0.16631786654475825)","[1, 1, 2, 0, 0]"
973,"[1, 1, 2, 0, 0]",88,21,0.7467723604954047,"(758242.7977055736, 30000000.0, 0.0, 0.15894947932734776)","[2, 2, 3, 1, 1]"
974,"[2, 2, 3, 1, 1]",175,54,0.713250089742416,"(758242.7977055736, 60000000.0, 0.0, 0.4362423717140901)","[2, 0, 3, 1, 1]"
